token,df_job,df_resume,df_ratio_job,df_ratio_resume,tf_job,tf_resume,tf_total,df_total,df_ratio_total,idf
Docker,42.0,110.0,0.75,0.3353658536585366,46.0,112.0,158.0,152.0,0.3958333333333333,1.922805412895349
Java,15.0,64.0,0.26785714285714285,0.1951219512195122,41.0,115.0,156.0,79.0,0.20572916666666666,2.5712166996139025
MySQL,22.0,99.0,0.39285714285714285,0.3018292682926829,32.0,118.0,150.0,121.0,0.3151041666666667,2.149222289554528
工程师,37.0,103.0,0.6607142857142857,0.31402439024390244,39.0,111.0,150.0,140.0,0.3645833333333333,2.004483443909616
业务,41.0,72.0,0.7321428571428571,0.21951219512195122,75.0,72.0,147.0,113.0,0.2942708333333333,2.217044885893289
在,0.0,132.0,0.0,0.4024390243902439,0.0,145.0,145.0,132.0,0.34375,2.0628942060660305
Visualization,9.0,66.0,0.16071428571428573,0.20121951219512196,28.0,116.0,144.0,75.0,0.1953125,2.622509994001453
Learning,21.0,53.0,0.375,0.16158536585365854,45.0,89.0,134.0,74.0,0.19270833333333334,2.6357552207514736
Machine,21.0,53.0,0.375,0.16158536585365854,45.0,89.0,134.0,74.0,0.19270833333333334,2.6357552207514736
某某,0.0,117.0,0.0,0.3567073170731707,0.0,134.0,134.0,117.0,0.3046875,2.1825587098221195
核心,48.0,73.0,0.8571428571428571,0.2225609756097561,59.0,73.0,132.0,121.0,0.3151041666666667,2.149222289554528
担任,0.0,116.0,0.0,0.35365853658536583,0.0,124.0,124.0,116.0,0.3020833333333333,2.1910693994900283
Hadoop,26.0,51.0,0.4642857142857143,0.15548780487804878,37.0,83.0,120.0,77.0,0.20052083333333334,2.5965345075981925
使用,15.0,101.0,0.26785714285714285,0.3079268292682927,16.0,102.0,118.0,116.0,0.3020833333333333,2.1910693994900283
Spring,10.0,72.0,0.17857142857142858,0.21951219512195122,21.0,93.0,114.0,82.0,0.21354166666666666,2.5344027264911864
系统,21.0,61.0,0.375,0.18597560975609756,44.0,70.0,114.0,82.0,0.21354166666666666,2.5344027264911864
和,23.0,71.0,0.4107142857142857,0.21646341463414634,31.0,75.0,106.0,94.0,0.24479166666666666,2.3993664426872434
至今,0.0,102.0,0.0,0.31097560975609756,0.0,102.0,102.0,102.0,0.265625,2.3185143460581488
优化,39.0,56.0,0.6964285714285714,0.17073170731707318,43.0,56.0,99.0,95.0,0.24739583333333334,2.388895142819948
师,9.0,70.0,0.16071428571428573,0.21341463414634146,9.0,85.0,94.0,79.0,0.20572916666666666,2.5712166996139025
XX,0.0,85.0,0.0,0.25914634146341464,0.0,93.0,93.0,85.0,0.22135416666666666,2.4988960380342764
Hive,23.0,51.0,0.4107142857142857,0.15548780487804878,23.0,67.0,90.0,74.0,0.19270833333333334,2.6357552207514736
有限公司,0.0,89.0,0.0,0.27134146341463417,0.0,90.0,90.0,89.0,0.23177083333333334,2.453433663957519
计算机科学,1.0,89.0,0.017857142857142856,0.27134146341463417,1.0,89.0,90.0,90.0,0.234375,2.442383827770934
ETL,16.0,54.0,0.2857142857142857,0.16463414634146342,23.0,64.0,87.0,70.0,0.18229166666666666,2.690563457246469
Excel,6.0,79.0,0.10714285714285714,0.24085365853658536,7.0,80.0,87.0,85.0,0.22135416666666666,2.4988960380342764
PowerBI,9.0,60.0,0.16071428571428573,0.18292682926829268,12.0,75.0,87.0,69.0,0.1796875,2.7047480922384253
NumPy,6.0,68.0,0.10714285714285714,0.2073170731707317,7.0,68.0,75.0,74.0,0.19270833333333334,2.6357552207514736
后,24.0,28.0,0.42857142857142855,0.08536585365853659,47.0,28.0,75.0,52.0,0.13541666666666666,2.982951420735662
搭建,16.0,57.0,0.2857142857142857,0.17378048780487804,17.0,57.0,74.0,73.0,0.19010416666666666,2.6491782410836144
端,23.0,27.0,0.4107142857142857,0.08231707317073171,46.0,27.0,73.0,50.0,0.13020833333333334,3.0214177015634585
后端,16.0,50.0,0.2857142857142857,0.1524390243902439,21.0,50.0,71.0,66.0,0.171875,2.748550714896818
Flink,16.0,35.0,0.2857142857142857,0.10670731707317073,23.0,46.0,69.0,51.0,0.1328125,3.001999615706357
及,36.0,10.0,0.6428571428571429,0.03048780487804878,59.0,10.0,69.0,46.0,0.11979166666666667,3.1030957325777258
应用,1.0,67.0,0.017857142857142856,0.20426829268292682,1.0,68.0,69.0,68.0,0.17708333333333334,2.719136829690525
算法,6.0,39.0,0.10714285714285714,0.11890243902439024,26.0,43.0,69.0,45.0,0.1171875,3.124601937798689
某,0.0,63.0,0.0,0.19207317073170732,0.0,67.0,67.0,63.0,0.1640625,2.7943602509281122
进行,14.0,47.0,0.25,0.14329268292682926,17.0,47.0,64.0,61.0,0.15885416666666666,2.826108949242693
计算机,15.0,44.0,0.26785714285714285,0.13414634146341464,17.0,45.0,62.0,59.0,0.15364583333333334,2.8588987720656833
高级,12.0,44.0,0.21428571428571427,0.13414634146341464,12.0,46.0,58.0,56.0,0.14583333333333334,2.9101920664532344
学院,0.0,57.0,0.0,0.17378048780487804,0.0,57.0,57.0,57.0,0.1484375,2.8928003237413646
软件工程,0.0,55.0,0.0,0.1676829268292683,0.0,55.0,55.0,55.0,0.14322916666666666,2.927891643552635
年,41.0,8.0,0.7321428571428571,0.024390243902439025,41.0,12.0,53.0,49.0,0.12760416666666666,3.0412203288596382
模型,6.0,41.0,0.10714285714285714,0.125,8.0,45.0,53.0,47.0,0.12239583333333333,3.0820423233798935
报表,6.0,45.0,0.10714285714285714,0.13719512195121952,7.0,45.0,52.0,51.0,0.1328125,3.001999615706357
职业,0.0,52.0,0.0,0.15853658536585366,0.0,52.0,52.0,52.0,0.13541666666666666,2.982951420735662
经验,43.0,0.0,0.7678571428571429,0.0,49.0,0.0,49.0,43.0,0.11197916666666667,3.169053700369523
统计学,6.0,43.0,0.10714285714285714,0.13109756097560976,6.0,43.0,49.0,49.0,0.12760416666666666,3.0412203288596382
参与,25.0,19.0,0.44642857142857145,0.057926829268292686,28.0,19.0,47.0,44.0,0.11458333333333333,3.1465808445174646
平台,16.0,19.0,0.2857142857142857,0.057926829268292686,28.0,19.0,47.0,35.0,0.09114583333333333,3.3697243958316743
研发,29.0,10.0,0.5178571428571429,0.03048780487804878,36.0,10.0,46.0,39.0,0.1015625,3.264363880173848
接口,8.0,33.0,0.14285714285714285,0.10060975609756098,9.0,33.0,42.0,41.0,0.10677083333333333,3.2155737160044158
维护,16.0,24.0,0.2857142857142857,0.07317073170731707,18.0,24.0,42.0,40.0,0.10416666666666667,3.2396712675834767
以上,41.0,0.0,0.7321428571428571,0.0,41.0,0.0,41.0,41.0,0.10677083333333333,3.2155737160044158
大学,0.0,39.0,0.0,0.11890243902439024,0.0,40.0,40.0,39.0,0.1015625,3.264363880173848
大屏,4.0,35.0,0.07142857142857142,0.10670731707317073,5.0,35.0,40.0,39.0,0.1015625,3.264363880173848
清洗,6.0,33.0,0.10714285714285714,0.10060975609756098,7.0,33.0,40.0,39.0,0.1015625,3.264363880173848
熟悉,29.0,6.0,0.5178571428571429,0.018292682926829267,34.0,6.0,40.0,35.0,0.09114583333333333,3.3697243958316743
设计,30.0,5.0,0.5357142857142857,0.01524390243902439,33.0,5.0,38.0,35.0,0.09114583333333333,3.3697243958316743
日常,10.0,27.0,0.17857142857142858,0.08231707317073171,10.0,27.0,37.0,37.0,0.09635416666666667,3.3156571745613985
建设,7.0,29.0,0.125,0.08841463414634146,7.0,29.0,36.0,36.0,0.09375,3.34232542164356
专业,35.0,0.0,0.625,0.0,35.0,0.0,35.0,35.0,0.09114583333333333,3.3697243958316743
重构,0.0,34.0,0.0,0.10365853658536585,0.0,34.0,34.0,34.0,0.08854166666666667,3.3978952727983707
分析,11.0,19.0,0.19642857142857142,0.057926829268292686,14.0,19.0,33.0,30.0,0.078125,3.519256129802638
要求,33.0,0.0,0.5892857142857143,0.0,33.0,0.0,33.0,33.0,0.0859375,3.426882809671623
BI,3.0,28.0,0.05357142857142857,0.08536585365853659,4.0,28.0,32.0,31.0,0.08072916666666667,3.4875074314880576
模块,7.0,24.0,0.125,0.07317073170731707,7.0,25.0,32.0,31.0,0.08072916666666667,3.4875074314880576
集群,9.0,23.0,0.16071428571428573,0.0701219512195122,9.0,23.0,32.0,32.0,0.08333333333333333,3.456735772821304
处理,13.0,18.0,0.23214285714285715,0.054878048780487805,13.0,18.0,31.0,31.0,0.08072916666666667,3.4875074314880576
性能,19.0,11.0,0.3392857142857143,0.03353658536585366,20.0,11.0,31.0,30.0,0.078125,3.519256129802638
了,0.0,26.0,0.0,0.07926829268292683,0.0,30.0,30.0,26.0,0.06770833333333333,3.657406468283455
具备,25.0,0.0,0.44642857142857145,0.0,29.0,0.0,29.0,25.0,0.06510416666666667,3.695146796266302
相关,21.0,0.0,0.375,0.0,29.0,0.0,29.0,21.0,0.0546875,3.8622008809294686
项目,3.0,26.0,0.05357142857142857,0.07926829268292683,3.0,26.0,29.0,29.0,0.07552083333333333,3.5520459526256287
推荐,0.0,28.0,0.0,0.08536585365853659,0.0,28.0,28.0,28.0,0.07291666666666667,3.58594750430131
有,26.0,0.0,0.4642857142857143,0.0,28.0,0.0,28.0,26.0,0.06770833333333333,3.657406468283455
订单,0.0,28.0,0.0,0.08536585365853659,0.0,28.0,28.0,28.0,0.07291666666666667,3.58594750430131
互联网,1.0,26.0,0.017857142857142856,0.07926829268292683,1.0,26.0,27.0,27.0,0.0703125,3.6210388241125804
架构,6.0,21.0,0.10714285714285714,0.06402439024390244,6.0,21.0,27.0,27.0,0.0703125,3.6210388241125804
架构设计,21.0,2.0,0.375,0.006097560975609756,25.0,2.0,27.0,23.0,0.059895833333333336,3.775189503939839
熟练,12.0,14.0,0.21428571428571427,0.042682926829268296,13.0,14.0,27.0,26.0,0.06770833333333333,3.657406468283455
PMP,0.0,26.0,0.0,0.07926829268292683,0.0,26.0,26.0,26.0,0.06770833333333333,3.657406468283455
提取,8.0,18.0,0.14285714285714285,0.054878048780487805,8.0,18.0,26.0,26.0,0.06770833333333333,3.657406468283455
科学,0.0,26.0,0.0,0.07926829268292683,0.0,26.0,26.0,26.0,0.06770833333333333,3.657406468283455
软件技术,0.0,26.0,0.0,0.07926829268292683,0.0,26.0,26.0,26.0,0.06770833333333333,3.657406468283455
CDA,0.0,25.0,0.0,0.07621951219512195,0.0,25.0,25.0,25.0,0.06510416666666667,3.695146796266302
扎实,25.0,0.0,0.44642857142857145,0.0,25.0,0.0,25.0,25.0,0.06510416666666667,3.695146796266302
提升,2.0,23.0,0.03571428571428571,0.0701219512195122,2.0,23.0,25.0,25.0,0.06510416666666667,3.695146796266302
设计师,0.0,25.0,0.0,0.07621951219512195,0.0,25.0,25.0,25.0,0.06510416666666667,3.695146796266302
数据库,12.0,10.0,0.21428571428571427,0.03048780487804878,14.0,10.0,24.0,22.0,0.057291666666666664,3.8177491183586345
级,8.0,15.0,0.14285714285714285,0.04573170731707317,9.0,15.0,24.0,23.0,0.059895833333333336,3.775189503939839
主导,0.0,23.0,0.0,0.0701219512195122,0.0,23.0,23.0,23.0,0.059895833333333336,3.775189503939839
云,0.0,23.0,0.0,0.0701219512195122,0.0,23.0,23.0,23.0,0.059895833333333336,3.775189503939839
以上学历,23.0,0.0,0.4107142857142857,0.0,23.0,0.0,23.0,23.0,0.059895833333333336,3.775189503939839
基础,22.0,0.0,0.39285714285714285,0.0,23.0,0.0,23.0,22.0,0.057291666666666664,3.8177491183586345
数仓,0.0,23.0,0.0,0.0701219512195122,0.0,23.0,23.0,23.0,0.059895833333333336,3.775189503939839
服务,7.0,16.0,0.125,0.04878048780487805,7.0,16.0,23.0,23.0,0.059895833333333336,3.775189503939839
软考,0.0,23.0,0.0,0.0701219512195122,0.0,23.0,23.0,23.0,0.059895833333333336,3.775189503939839
阿里,0.0,23.0,0.0,0.0701219512195122,0.0,23.0,23.0,23.0,0.059895833333333336,3.775189503939839
CDAData,0.0,22.0,0.0,0.06707317073170732,0.0,22.0,22.0,22.0,0.057291666666666664,3.8177491183586345
主要,0.0,22.0,0.0,0.06707317073170732,0.0,22.0,22.0,22.0,0.057291666666666664,3.8177491183586345
学历,21.0,0.0,0.375,0.0,22.0,0.0,22.0,21.0,0.0546875,3.8622008809294686
数据处理,11.0,10.0,0.19642857142857142,0.03048780487804878,12.0,10.0,22.0,21.0,0.0546875,3.8622008809294686
海量,12.0,7.0,0.21428571428571427,0.021341463414634148,15.0,7.0,22.0,19.0,0.049479166666666664,3.9575110607337933
离线,6.0,15.0,0.10714285714285714,0.04573170731707317,6.0,16.0,22.0,21.0,0.0546875,3.8622008809294686
计算机相关,22.0,0.0,0.39285714285714285,0.0,22.0,0.0,22.0,22.0,0.057291666666666664,3.8177491183586345
训练,5.0,17.0,0.08928571428571429,0.051829268292682924,5.0,17.0,22.0,22.0,0.057291666666666664,3.8177491183586345
工作,18.0,1.0,0.32142857142857145,0.003048780487804878,20.0,1.0,21.0,19.0,0.049479166666666664,3.9575110607337933
查询,2.0,19.0,0.03571428571428571,0.057926829268292686,2.0,19.0,21.0,21.0,0.0546875,3.8622008809294686
框架,13.0,8.0,0.23214285714285715,0.024390243902439025,13.0,8.0,21.0,21.0,0.0546875,3.8622008809294686
熟练掌握,20.0,0.0,0.35714285714285715,0.0,21.0,0.0,21.0,20.0,0.052083333333333336,3.908720896564361
用户,0.0,21.0,0.0,0.06402439024390244,0.0,21.0,21.0,21.0,0.0546875,3.8622008809294686
精通,20.0,1.0,0.35714285714285715,0.003048780487804878,20.0,1.0,21.0,21.0,0.0546875,3.8622008809294686
实时,5.0,15.0,0.08928571428571429,0.04573170731707317,5.0,15.0,20.0,20.0,0.052083333333333336,3.908720896564361
微,2.0,18.0,0.03571428571428571,0.054878048780487805,2.0,18.0,20.0,20.0,0.052083333333333336,3.908720896564361
专家,3.0,16.0,0.05357142857142857,0.04878048780487805,3.0,16.0,19.0,19.0,0.049479166666666664,3.9575110607337933
中心,19.0,0.0,0.3392857142857143,0.0,19.0,0.0,19.0,19.0,0.049479166666666664,3.9575110607337933
人工智能,1.0,18.0,0.017857142857142856,0.054878048780487805,1.0,18.0,19.0,19.0,0.049479166666666664,3.9575110607337933
需要,19.0,0.0,0.3392857142857143,0.0,19.0,0.0,19.0,19.0,0.049479166666666664,3.9575110607337933
或,15.0,0.0,0.26785714285714285,0.0,18.0,0.0,18.0,15.0,0.0390625,4.180654612048003
解决,17.0,1.0,0.30357142857142855,0.003048780487804878,17.0,1.0,18.0,18.0,0.046875,4.0088043551213435
做,0.0,17.0,0.0,0.051829268292682924,0.0,17.0,17.0,17.0,0.044270833333333336,4.06287157639162
博士,16.0,0.0,0.2857142857142857,0.0,17.0,0.0,17.0,16.0,0.041666666666666664,4.1200299902315685
指标体系,8.0,9.0,0.14285714285714285,0.027439024390243903,8.0,9.0,17.0,17.0,0.044270833333333336,4.06287157639162
编写,11.0,5.0,0.19642857142857142,0.01524390243902439,12.0,5.0,17.0,16.0,0.041666666666666664,4.1200299902315685
Django,1.0,13.0,0.017857142857142856,0.039634146341463415,1.0,15.0,16.0,14.0,0.036458333333333336,4.245193133185574
理工大学,0.0,16.0,0.0,0.04878048780487805,0.0,16.0,16.0,16.0,0.041666666666666664,4.1200299902315685
软件,0.0,16.0,0.0,0.04878048780487805,0.0,16.0,16.0,16.0,0.041666666666666664,4.1200299902315685
ACP,0.0,15.0,0.0,0.04573170731707317,0.0,15.0,15.0,15.0,0.0390625,4.180654612048003
代码,15.0,0.0,0.26785714285714285,0.0,15.0,0.0,15.0,15.0,0.0390625,4.180654612048003
大连,0.0,10.0,0.0,0.03048780487804878,0.0,15.0,15.0,10.0,0.026041666666666668,4.555348061489413
数据仓库,7.0,5.0,0.125,0.01524390243902439,10.0,5.0,15.0,12.0,0.03125,4.3882939768262474
流程,11.0,4.0,0.19642857142857142,0.012195121951219513,11.0,4.0,15.0,15.0,0.0390625,4.180654612048003
硕士,15.0,0.0,0.26785714285714285,0.0,15.0,0.0,15.0,15.0,0.0390625,4.180654612048003
统计,1.0,14.0,0.017857142857142856,0.042682926829268296,1.0,14.0,15.0,15.0,0.0390625,4.180654612048003
能力,12.0,2.0,0.21428571428571427,0.006097560975609756,13.0,2.0,15.0,14.0,0.036458333333333336,4.245193133185574
落地,5.0,8.0,0.08928571428571429,0.024390243902439025,7.0,8.0,15.0,13.0,0.033854166666666664,4.314186004672526
YY,0.0,14.0,0.0,0.042682926829268296,0.0,14.0,14.0,14.0,0.036458333333333336,4.245193133185574
部,14.0,0.0,0.25,0.0,14.0,0.0,14.0,14.0,0.036458333333333336,4.245193133185574
交通,0.0,13.0,0.0,0.039634146341463415,0.0,13.0,13.0,13.0,0.033854166666666664,4.314186004672526
工业,0.0,13.0,0.0,0.039634146341463415,0.0,13.0,13.0,13.0,0.033854166666666664,4.314186004672526
计算,1.0,12.0,0.017857142857142856,0.036585365853658534,1.0,12.0,13.0,13.0,0.033854166666666664,4.314186004672526
调优,9.0,4.0,0.16071428571428573,0.012195121951219513,9.0,4.0,13.0,13.0,0.033854166666666664,4.314186004672526
nbsp,0.0,9.0,0.0,0.027439024390243903,0.0,12.0,12.0,9.0,0.0234375,4.650658241293739
信息,0.0,11.0,0.0,0.03353658536585366,0.0,12.0,12.0,11.0,0.028645833333333332,4.468336684499784
基于,2.0,10.0,0.03571428571428571,0.03048780487804878,2.0,10.0,12.0,12.0,0.03125,4.3882939768262474
天津大学,0.0,12.0,0.0,0.036585365853658534,0.0,12.0,12.0,12.0,0.03125,4.3882939768262474
等,10.0,1.0,0.17857142857142858,0.003048780487804878,11.0,1.0,12.0,11.0,0.028645833333333332,4.468336684499784
重庆,0.0,8.0,0.0,0.024390243902439025,0.0,12.0,12.0,8.0,0.020833333333333332,4.7560187569515655
CET,0.0,11.0,0.0,0.03353658536585366,0.0,11.0,11.0,11.0,0.028645833333333332,4.468336684499784
中,8.0,3.0,0.14285714285714285,0.009146341463414634,8.0,3.0,11.0,11.0,0.028645833333333332,4.468336684499784
团队,5.0,4.0,0.08928571428571429,0.012195121951219513,7.0,4.0,11.0,9.0,0.0234375,4.650658241293739
完成,5.0,5.0,0.08928571428571429,0.01524390243902439,6.0,5.0,11.0,10.0,0.026041666666666668,4.555348061489413
工程,3.0,8.0,0.05357142857142857,0.024390243902439025,3.0,8.0,11.0,11.0,0.028645833333333332,4.468336684499784
广西大学,0.0,11.0,0.0,0.03353658536585366,0.0,11.0,11.0,11.0,0.028645833333333332,4.468336684499784
建模,5.0,5.0,0.08928571428571429,0.01524390243902439,6.0,5.0,11.0,10.0,0.026041666666666668,4.555348061489413
良好,11.0,0.0,0.19642857142857142,0.0,11.0,0.0,11.0,11.0,0.028645833333333332,4.468336684499784
苏州,0.0,6.0,0.0,0.018292682926829267,0.0,11.0,11.0,6.0,0.015625,5.007333185232471
青岛,0.0,9.0,0.0,0.027439024390243903,0.0,11.0,11.0,9.0,0.0234375,4.650658241293739
中国,0.0,10.0,0.0,0.03048780487804878,0.0,10.0,10.0,10.0,0.026041666666666668,4.555348061489413
华南理工大学,0.0,10.0,0.0,0.03048780487804878,0.0,10.0,10.0,10.0,0.026041666666666668,4.555348061489413
南京,0.0,7.0,0.0,0.021341463414634148,0.0,10.0,10.0,7.0,0.018229166666666668,4.873801792607948
数学,7.0,0.0,0.125,0.0,10.0,0.0,10.0,7.0,0.018229166666666668,4.873801792607948
数据报表,1.0,9.0,0.017857142857142856,0.027439024390243903,1.0,9.0,10.0,10.0,0.026041666666666668,4.555348061489413
特征,3.0,7.0,0.05357142857142857,0.021341463414634148,3.0,7.0,10.0,10.0,0.026041666666666668,4.555348061489413
生态,5.0,5.0,0.08928571428571429,0.01524390243902439,5.0,5.0,10.0,10.0,0.026041666666666668,4.555348061489413
看板,0.0,10.0,0.0,0.03048780487804878,0.0,10.0,10.0,10.0,0.026041666666666668,4.555348061489413
研发部,10.0,0.0,0.17857142857142858,0.0,10.0,0.0,10.0,10.0,0.026041666666666668,4.555348061489413
编程,10.0,0.0,0.17857142857142858,0.0,10.0,0.0,10.0,10.0,0.026041666666666668,4.555348061489413
资深,5.0,5.0,0.08928571428571429,0.01524390243902439,5.0,5.0,10.0,10.0,0.026041666666666668,4.555348061489413
AI,6.0,1.0,0.10714285714285714,0.003048780487804878,8.0,1.0,9.0,7.0,0.018229166666666668,4.873801792607948
Cloud,0.0,9.0,0.0,0.027439024390243903,0.0,9.0,9.0,9.0,0.0234375,4.650658241293739
中级,0.0,9.0,0.0,0.027439024390243903,0.0,9.0,9.0,9.0,0.0234375,4.650658241293739
任务,2.0,7.0,0.03571428571428571,0.021341463414634148,2.0,7.0,9.0,9.0,0.0234375,4.650658241293739
前端,7.0,1.0,0.125,0.003048780487804878,8.0,1.0,9.0,8.0,0.020833333333333332,4.7560187569515655
大厂,0.0,9.0,0.0,0.027439024390243903,0.0,9.0,9.0,9.0,0.0234375,4.650658241293739
天津,0.0,6.0,0.0,0.018292682926829267,0.0,9.0,9.0,6.0,0.015625,5.007333185232471
校园,0.0,9.0,0.0,0.027439024390243903,0.0,9.0,9.0,9.0,0.0234375,4.650658241293739
画像,0.0,9.0,0.0,0.027439024390243903,0.0,9.0,9.0,9.0,0.0234375,4.650658241293739
重庆大学,0.0,9.0,0.0,0.027439024390243903,0.0,9.0,9.0,9.0,0.0234375,4.650658241293739
excel,0.0,8.0,0.0,0.024390243902439025,0.0,8.0,8.0,8.0,0.020833333333333332,4.7560187569515655
信息管理,0.0,8.0,0.0,0.024390243902439025,0.0,8.0,8.0,8.0,0.020833333333333332,4.7560187569515655
厦门,0.0,5.0,0.0,0.01524390243902439,0.0,8.0,8.0,5.0,0.013020833333333334,5.161483865059729
展示,4.0,4.0,0.07142857142857142,0.012195121951219513,4.0,4.0,8.0,8.0,0.020833333333333332,4.7560187569515655
并,7.0,0.0,0.125,0.0,8.0,0.0,8.0,7.0,0.018229166666666668,4.873801792607948
技术难题,8.0,0.0,0.14285714285714285,0.0,8.0,0.0,8.0,8.0,0.020833333333333332,4.7560187569515655
指标,2.0,6.0,0.03571428571428571,0.018292682926829267,2.0,6.0,8.0,8.0,0.020833333333333332,4.7560187569515655
效率,1.0,7.0,0.017857142857142856,0.021341463414634148,1.0,7.0,8.0,8.0,0.020833333333333332,4.7560187569515655
河北,0.0,8.0,0.0,0.024390243902439025,0.0,8.0,8.0,8.0,0.020833333333333332,4.7560187569515655
海洋大学,0.0,8.0,0.0,0.024390243902439025,0.0,8.0,8.0,8.0,0.020833333333333332,4.7560187569515655
深圳,0.0,7.0,0.0,0.021341463414634148,0.0,8.0,8.0,7.0,0.018229166666666668,4.873801792607948
电商,0.0,8.0,0.0,0.024390243902439025,0.0,8.0,8.0,8.0,0.020833333333333332,4.7560187569515655
组件,6.0,2.0,0.10714285714285714,0.006097560975609756,6.0,2.0,8.0,8.0,0.020833333333333332,4.7560187569515655
运维,3.0,5.0,0.05357142857142857,0.01524390243902439,3.0,5.0,8.0,8.0,0.020833333333333332,4.7560187569515655
问题,7.0,1.0,0.125,0.003048780487804878,7.0,1.0,8.0,8.0,0.020833333333333332,4.7560187569515655
Flask,1.0,6.0,0.017857142857142856,0.018292682926829267,1.0,6.0,7.0,7.0,0.018229166666666668,4.873801792607948
信息技术,0.0,7.0,0.0,0.021341463414634148,0.0,7.0,7.0,7.0,0.018229166666666668,4.873801792607948
合肥,0.0,4.0,0.0,0.012195121951219513,0.0,7.0,7.0,4.0,0.010416666666666666,5.343805421853684
哈尔滨工业大学,0.0,7.0,0.0,0.021341463414634148,0.0,7.0,7.0,7.0,0.018229166666666668,4.873801792607948
太原,0.0,7.0,0.0,0.021341463414634148,0.0,7.0,7.0,7.0,0.018229166666666668,4.873801792607948
工具,6.0,0.0,0.10714285714285714,0.0,7.0,0.0,7.0,6.0,0.015625,5.007333185232471
并发,4.0,3.0,0.07142857142857142,0.009146341463414634,4.0,3.0,7.0,7.0,0.018229166666666668,4.873801792607948
数据中心,7.0,0.0,0.125,0.0,7.0,0.0,7.0,7.0,0.018229166666666668,4.873801792607948
数据挖掘,3.0,4.0,0.05357142857142857,0.012195121951219513,3.0,4.0,7.0,7.0,0.018229166666666668,4.873801792607948
昆明,0.0,7.0,0.0,0.021341463414634148,0.0,7.0,7.0,7.0,0.018229166666666668,4.873801792607948
江西,0.0,7.0,0.0,0.021341463414634148,0.0,7.0,7.0,7.0,0.018229166666666668,4.873801792607948
沈阳,0.0,6.0,0.0,0.018292682926829267,0.0,7.0,7.0,6.0,0.015625,5.007333185232471
网络,0.0,7.0,0.0,0.021341463414634148,0.0,7.0,7.0,7.0,0.018229166666666668,4.873801792607948
行为,0.0,7.0,0.0,0.021341463414634148,0.0,7.0,7.0,7.0,0.018229166666666668,4.873801792607948
认证,0.0,7.0,0.0,0.021341463414634148,0.0,7.0,7.0,7.0,0.018229166666666668,4.873801792607948
输出,6.0,1.0,0.10714285714285714,0.003048780487804878,6.0,1.0,7.0,7.0,0.018229166666666668,4.873801792607948
部署,2.0,5.0,0.03571428571428571,0.01524390243902439,2.0,5.0,7.0,7.0,0.018229166666666668,4.873801792607948
集团,1.0,6.0,0.017857142857142856,0.018292682926829267,1.0,6.0,7.0,7.0,0.018229166666666668,4.873801792607948
上海,0.0,5.0,0.0,0.01524390243902439,0.0,6.0,6.0,5.0,0.013020833333333334,5.161483865059729
东北大学,0.0,6.0,0.0,0.018292682926829267,0.0,6.0,6.0,6.0,0.015625,5.007333185232471
东莞,0.0,5.0,0.0,0.01524390243902439,0.0,6.0,6.0,5.0,0.013020833333333334,5.161483865059729
习惯,6.0,0.0,0.10714285714285714,0.0,6.0,0.0,6.0,6.0,0.015625,5.007333185232471
